module,layer,r10_2task,r10_4task,drop_r10,rank_by_drop
gating_einsum,11,0.512670154880,0.269913085606,-0.242757069274,1
gating_einsum,10,0.512791662661,0.270131583572,-0.242660079089,2
gating_einsum,6,0.513202450264,0.270877882403,-0.242324567862,3
gating_einsum,4,0.513794982990,0.271471751342,-0.242323231648,4
gating_einsum,9,0.513268695517,0.271055151059,-0.242213544458,5
gating_einsum,5,0.514180960527,0.272042273294,-0.242138687233,6
gating_einsum,12,0.513467897939,0.271442968781,-0.242024929158,7
gating_einsum,8,0.513491384603,0.271618623460,-0.241872761143,8
gating_einsum,15,0.514189882558,0.272451642105,-0.241738240453,9
gating_einsum,7,0.515390977972,0.273784958685,-0.241606019286,10
gating_einsum,3,0.515239264032,0.273834703577,-0.241404560455,11
gating_einsum,14,0.515377326176,0.274164972724,-0.241212353452,12
gating_einsum,2,0.516228440164,0.275091540634,-0.241136899530,13
gating_einsum,13,0.516129145448,0.275344410282,-0.240784735166,14
gating_einsum,1,0.516780492445,0.276431244487,-0.240349247958,15
gating_einsum,0,0.523980810871,0.286780137399,-0.237200673472,16
gating_einsum,16,0.551408005948,0.326860772926,-0.224547233022,17
gating_einsum,17,0.692392394914,0.534294754358,-0.158097640555,18
linear,1,0.514284699086,0.272673658855,-0.241611040232,1
linear,4,0.516708174124,0.275858117431,-0.240850056694,2
linear,2,0.517037026646,0.276245148613,-0.240791878033,3
linear,5,0.516612112529,0.275960239771,-0.240651872758,4
linear,8,0.516867573188,0.276293605630,-0.240573967558,5
linear,10,0.516394029901,0.275939948006,-0.240454081895,6
linear,6,0.516125856120,0.275703715080,-0.240422141040,7
linear,9,0.516596685382,0.276238002337,-0.240358683044,8
linear,3,0.517589202061,0.277365915935,-0.240223286125,9
linear,11,0.516841588570,0.276647023579,-0.240194564991,10
linear,7,0.517039959718,0.276865322344,-0.240174637375,11
linear,0,0.519168187756,0.279959298326,-0.239208889430,12
linear,12,0.520132977011,0.282169419714,-0.237963557296,13
linear,14,0.526566673099,0.289889447620,-0.236677225479,14
linear,13,0.527917989565,0.292606452997,-0.235311536567,15
linear,15,0.528207611006,0.293289646591,-0.234917964416,16
linear,16,0.576247048352,0.365339425005,-0.210907623347,17
linear,17,0.680878245026,0.513357699153,-0.167520545873,18
