module,task,r_in_2task_mean,r_in_4task_mean,cos_with_2task_mean,cos_with_4task_mean,norm_ratio_2task_mean,norm_ratio_4task_mean
q_einsum,libero_10,0.554790336103,0.334627797145,0.743215300242,0.576677470780,0.746473243920,0.580268545418
q_einsum,libero_spatial,0.554262477712,0.334818990789,0.746110935109,0.579806694745,0.742868723175,0.577466582955
q_einsum,libero_object,,0.335095541132,,0.580404192781,,0.577348587933
q_einsum,libero_goal,,0.335525260824,,0.578330590618,,0.580161703820
kv_einsum,libero_10,0.593154496282,0.391643346469,0.768908030522,0.621360574277,0.771424504280,0.630299640309
kv_einsum,libero_spatial,0.592436717949,0.395430719009,0.770953509206,0.629800494813,0.768446749221,0.627866637556
kv_einsum,libero_object,,0.390633275124,,0.628270033196,,0.621760158028
kv_einsum,libero_goal,,0.392860335872,,0.626983791161,,0.626587706749
attn_vec_einsum,libero_10,0.573570564746,0.362501895954,0.753901754983,0.596322287995,0.760802798183,0.607895936898
attn_vec_einsum,libero_spatial,0.572057266183,0.364372739394,0.759767232793,0.605661253981,0.752937533354,0.601611440386
attn_vec_einsum,libero_object,,0.361150258883,,0.605970112611,,0.595986916462
attn_vec_einsum,libero_goal,,0.362724337519,,0.600926445713,,0.603608544950
gating_einsum,libero_10,0.516076070147,0.275084076136,0.717687726702,0.524970079551,0.719081643654,0.523999532261
gating_einsum,libero_spatial,0.516011872779,0.275726388398,0.719035566173,0.527249666624,0.717644435205,0.522952228994
gating_einsum,libero_object,,0.275731110141,,0.523677207771,,0.526528758651
gating_einsum,libero_goal,,0.275426502777,,0.523588239525,,0.526036457632
linear,libero_10,0.519580384824,0.280474125390,0.718404836132,0.528815689566,0.723241769393,0.530381626196
linear,libero_spatial,0.519310175822,0.280850001414,0.723037512823,0.533216349471,0.718234070310,0.526709283564
linear,libero_object,,0.280935066714,,0.528900356399,,0.531168231057
linear,libero_goal,,0.280782719831,,0.528527869976,,0.531254330720
