model,module,layer,cos_to_joint,rel_l2_to_joint,delta_norm,joint_delta_norm
mean4_iter0,gating_einsum,0,0.216653443521,1.014280679242,17.698610748153,35.987630082182
mean4_iter0,gating_einsum,1,0.183584324424,1.020487962001,19.830587263191,43.333603685770
mean4_iter0,gating_einsum,2,0.151839914366,1.032044703573,19.993600573632,44.551304552103
mean4_iter0,gating_einsum,3,0.146537568760,1.032518510311,20.493142439266,46.316789118396
mean4_iter0,gating_einsum,4,0.133859502017,1.037016064602,20.544430117406,46.761620303581
mean4_iter0,gating_einsum,5,0.135290047912,1.035726830504,20.609752059462,47.161086828691
mean4_iter0,gating_einsum,6,0.128220071575,1.038052608984,20.714325311523,47.640622059877
mean4_iter0,gating_einsum,7,0.135628451092,1.034630547322,20.812791288324,47.987279468718
mean4_iter0,gating_einsum,8,0.134398358502,1.034251079116,20.949955277126,48.652404183159
mean4_iter0,gating_einsum,9,0.131828119615,1.034501910234,20.945258160565,48.965521939775
mean4_iter0,gating_einsum,10,0.130684482218,1.034021126118,21.019037952222,49.524628697896
mean4_iter0,gating_einsum,11,0.133230284577,1.032286309943,20.999639368730,49.766796607872
mean4_iter0,gating_einsum,12,0.150092127587,1.025220061153,20.923637174924,49.653574089677
mean4_iter0,gating_einsum,13,0.160204946984,1.020567891862,20.761738063192,49.493784569796
mean4_iter0,gating_einsum,14,0.136730189822,1.029781313439,18.850537825830,45.090846226815
mean4_iter0,gating_einsum,15,0.152161405465,1.022249309454,18.480117868227,44.723229643875
mean4_iter0,gating_einsum,16,0.209649188124,1.001593259262,12.433958363740,29.134972125942
mean4_iter0,gating_einsum,17,0.603559422996,0.797322424190,7.136603251493,11.876347808156
mean4_iter0,linear,0,0.195694445404,1.015159729454,12.956582667765,28.284610343652
mean4_iter0,linear,1,0.177783718291,1.017463255896,14.261342154587,32.685870489082
mean4_iter0,linear,2,0.162415043045,1.024985987181,14.167850381094,32.210012029747
mean4_iter0,linear,3,0.164007438408,1.023308376648,14.583203105428,33.436646940752
mean4_iter0,linear,4,0.155280917880,1.026496305852,14.669263642180,33.783047009370
mean4_iter0,linear,5,0.150262351205,1.028402509866,14.691556238684,33.895121436728
mean4_iter0,linear,6,0.146442261144,1.029283554169,14.745187774331,34.225968062512
mean4_iter0,linear,7,0.145797802793,1.029074518942,14.783906463430,34.454532224880
mean4_iter0,linear,8,0.148162256593,1.027317002532,14.872065137532,34.890551199912
mean4_iter0,linear,9,0.147223445330,1.027149001544,14.849288944740,35.006319194336
mean4_iter0,linear,10,0.145817548098,1.027202870921,14.858442669566,35.189698901436
mean4_iter0,linear,11,0.148327887116,1.026389324401,14.743700545407,34.850369608186
mean4_iter0,linear,12,0.175918673052,1.015732715858,14.687520965698,34.458406186311
mean4_iter0,linear,13,0.199245306386,1.010199585356,13.987083343327,31.459498475218
mean4_iter0,linear,14,0.175459983236,1.015745429814,12.949275827688,30.432369320094
mean4_iter0,linear,15,0.231411091179,0.996860737423,11.967782226275,26.662836135188
mean4_iter0,linear,16,0.278062507351,0.978662045336,8.075317925832,17.351068536952
mean4_iter0,linear,17,0.585367579850,0.811472396586,3.710278785232,5.992335420307
mean4_iter100,gating_einsum,0,0.209678274546,1.074201161674,23.554176819335,35.987630082182
mean4_iter100,gating_einsum,1,0.180457238276,1.065899924023,25.618712904546,43.333603685770
mean4_iter100,gating_einsum,2,0.149354236489,1.075251754937,25.475100402618,44.551304552103
mean4_iter100,gating_einsum,3,0.144870858770,1.073237383878,25.964931778027,46.316789118396
mean4_iter100,gating_einsum,4,0.133225294121,1.077083325536,25.950679504174,46.761620303581
mean4_iter100,gating_einsum,5,0.134998294587,1.074475894924,25.966792889865,47.161086828691
mean4_iter100,gating_einsum,6,0.129127700552,1.076115527975,26.064056071802,47.640622059877
mean4_iter100,gating_einsum,7,0.136185437886,1.071294452851,26.099522961151,47.987279468718
mean4_iter100,gating_einsum,8,0.135405612603,1.070205557569,26.270975289810,48.652404183159
mean4_iter100,gating_einsum,9,0.133091957196,1.069752354856,26.230242280216,48.965521939775
mean4_iter100,gating_einsum,10,0.131856211454,1.068430124821,26.273568483372,49.524628697896
mean4_iter100,gating_einsum,11,0.134375590257,1.066019668146,26.246156671494,49.766796607872
