module,layer,region,l2_norm
gating_einsum,0,front,36.501557884057
gating_einsum,1,front,44.221420911441
gating_einsum,2,front,45.978937900258
gating_einsum,3,front,47.822942102923
gating_einsum,4,front,48.492551461649
gating_einsum,5,front,48.846002984210
gating_einsum,6,middle,49.453472022880
gating_einsum,7,middle,49.649105221226
gating_einsum,8,middle,50.318801528000
gating_einsum,9,middle,50.654925982316
gating_einsum,10,middle,51.209512336766
gating_einsum,11,middle,51.373582828000
gating_einsum,12,back,50.905840264668
gating_einsum,13,back,50.511767378678
gating_einsum,14,back,46.433710851538
gating_einsum,15,back,45.718290620018
gating_einsum,16,back,29.181391690140
gating_einsum,17,back,9.469278424922
linear,0,front,28.713397384161
linear,1,front,33.256672209610
linear,2,front,33.014810977416
linear,3,front,34.216000901490
linear,4,front,34.678172955542
linear,5,front,34.857827957739
linear,6,middle,35.228226052261
linear,7,middle,35.456281174687
linear,8,middle,35.843656475396
linear,9,middle,35.956705808178
linear,10,middle,36.146959738407
linear,11,middle,35.770047317267
linear,12,back,35.000530499754
linear,13,back,31.780372315188
linear,14,back,30.911540055300
linear,15,back,26.579134491500
linear,16,back,16.980832223135
linear,17,back,4.862614784663
